ISIN;YahooTicker;Name;Currency;Sector;Industry;Hight_52;Low_52;PeRatio;BookValue;PriceToBook;LastDividend;LastDividendYield;LastDividendDate;TSValue;KeyDate;TSDate;IndexName§  0        ;FirstDivYear;LastDivYear;DivIncreas;DivDecrease;DivGrowthSi;DivGrowthLast7;DivGrowthLast5;DivGrowthlast3;DivGrowthLast;DivYear_2017;DivYear_2018;DivYear_2019;DivYear_2020;DivYear_2021;PayoutYear_2017;PayoutYear_2018;PayoutYear_2019;PayoutYear_2020;PayoutYear_2021
CH0006089921;PEHN.SW;Private Equity;CHF;Financial Services;Asset Management;81.0;42.6;;83.428;0.964904;0.5;0.0061;2020-07-06;81.0;2021-04-20;2021-04-21;SPI;2019;2020;0;1;-0.75;;;;-0.75;;;;0.5;;;;;0.08620689655172414;
CH0006372897;INRN.SW;INTERROLL;CHF;Industrials;Specialty Industrial Machinery;3430.0;1506.0;38.0378;377.996;8.65089;27.0;0.0082;2021-05-11;3280.0;2021-04-20;2021-04-21;SPI;2012;2020;7;0;2.2142857142857144;1.8125;;0.40625;0.022727272727272728;16.0;16.5;22.0;22.5;;0.34782608695652173;0.26916802610114193;0.3298350824587706;;
CH0008012236;GUR.SW;Gurit;CHF;Basic Materials;Specialty Chemicals;2800.0;1168.0;24.0267;371.02;6.49561;30.0;0.0125;2021-04-16;2410.0;2021-04-20;2021-04-21;SPI;1996;2020;10;4;-0.16666666666666666;2.3333333333333335;4.882352941176471;;1.5;;20.0;20.0;50.0;;;0.46511627906976744;0.2628120893561104;;
CH0008038389;SPSN.SW;Swiss Prime Site;CHF;Real Estate;Real Estate Services;97.1;73.9;11.9849;80.107;1.12911;3.35;0.0368;2021-03-25;90.5;2021-04-20;2021-04-21;SPI;2010;2021;3;2;-0.045714285714285756;-0.07222222222222228;-0.09729729729729739;-0.5571419479389864;-0.12105263157894737;3.7;7.54192;3.8;3.8;3.34;0.902439024390244;1.88548;0.5066666666666666;0.5066666666666666;
CH0008207356;BVZN.SW;BVZ;CHF;Industrials;Railroads;1130.0;675.0;;851.78;0.99791;7.5;0.0086;2020-04-20;850.0;2021-04-20;2021-04-20;SPI;2001;2020;8;2;0.07142857142857142;-0.21052631578947367;-0.3181818181818182;-0.375;-0.4642857142857143;12.0;2.0;14.0;7.5;;0.1901743264659271;0.021253985122210415;0.1383399209486166;;
CH0008702190;CICN.SW;Cicor Technologies;CHF;Technology;Electronic Components;54.4;34.8;35.4413;26.304;1.93887;1.0;0.0191;2021-04-20;51.0;2021-04-20;2021-04-21;SPI;2013;2020;3;1;4.0;4.0;3.166666666666667;;-0.25;;0.7;2.0;1.5;;;0.21212121212121213;0.6896551724137931;;
CH0008742519;SCMN.SW;Swisscom;CHF;Communication Services;Telecom Services;548.0;456.3;16.3089;183.198;2.6294;22.0;0.0457;2021-04-06;481.9;2021-04-20;2021-04-21;SPI;2001;2021;10;0;1.0;0.0;0.0;0.0;0.0;22.0;22.0;22.0;22.0;22.0;0.7260726072607261;0.7457627118644068;0.6811145510835914;;
CH0008837566;ALLN.SW;Allreal;CHF;Real Estate;Real Estate Services;207.0;170.4;18.0677;151.757;1.252;6.75;0.0353;2021-04-20;190.0;2021-04-20;2021-04-21;SPI;2003;2020;7;1;0.5;0.22727272727272727;0.22727272727272727;0.17391304347826086;0.038461538461538464;5.75;6.25;6.5;6.75;;0.7098765432098766;0.6188118811881188;0.43918918918918914;;
CH0008967926;ADVN.SW;Adval Tech;CHF;Industrials;Metal Fabrication;189.0;125.0;27.8552;166.577;1.02055;2.7;0.0159;2020-05-18;170.0;2021-04-20;2021-04-21;SPI;2000;2020;5;3;-0.73;;;-0.9341463414634146;-0.35714285714285715;41.0;4.0;4.2;2.7;;3.4166666666666665;0.3333333333333333;0.35294117647058826;;
CH0009002962;BARN.SW;Barry Callebaut;CHF;Consumer Defensive;Confectioners;2186.0;1766.0;38.0439;429.782;5.0863;22.0;0.0102;2021-01-05;2182.0;2021-04-20;2021-04-21;SPI;2000;2021;12;5;2.3846153846153846;0.5172413793103449;0.5172413793103449;0.7282010997643361;-0.15384615384615385;4.19;12.73;24.0;26.0;22.0;0.07645985401459855;0.1970588235294118;0.35714285714285715;0.45217391304347826;
